Event Link,Event Name,Date,Venue,Location
https://www.tapology.com/fightcenter/events/78675-ufc-265,UFC 265: Lewis vs. Gane,"Saturday, August 07, 2021",Toyota Center,"Houston, TX"
https://www.tapology.com/fightcenter/events/78698-ufc-fight-night,UFC Fight Night: Hall vs. Strickland,"Saturday, July 31, 2021",UFC APEX,"Las Vegas, NV"
https://www.tapology.com/fightcenter/events/78477-ufc-fight-night,UFC Fight Night: Sandhagen vs. Dillashaw,"Saturday, July 24, 2021",UFC APEX,"Las Vegas, NV"
https://www.tapology.com/fightcenter/events/78130-ufc-fight-night,UFC Fight Night: Makhachev vs. Moisés,"Saturday, July 17, 2021",UFC APEX,"Las Vegas, NV"
https://www.tapology.com/fightcenter/events/78106-ufc-264,UFC 264: Poirier vs. McGregor 3,"Saturday, July 10, 2021",T-Mobile Arena,"Las Vegas, NV"
https://www.tapology.com/fightcenter/events/77763-ufc-fight-night,UFC Fight Night: Gane vs. Volkov,"Saturday, June 26, 2021",UFC APEX,"Las Vegas, NV"
https://www.tapology.com/fightcenter/events/77656-ufc-fight-night,UFC Fight Night: Korean Zombie vs. Ige,"Saturday, June 19, 2021",UFC APEX,"Las Vegas, NV"
https://www.tapology.com/fightcenter/events/77570-ufc-263,UFC 263: Adesanya vs. Vettori 2,"Saturday, June 12, 2021",Gila River Arena,"Glendale, AZ"
https://www.tapology.com/fightcenter/events/77692-ufc-fight-night,UFC Fight Night: Rozenstruik vs. Sakai,"Saturday, June 05, 2021",UFC APEX,"Las Vegas, NV"
https://www.tapology.com/fightcenter/events/77264-ufc-fight-night,UFC Fight Night: Font vs. Garbrandt,"Saturday, May 22, 2021",UFC APEX,"Las Vegas, NV"
https://www.tapology.com/fightcenter/events/77263-ufc-fight-night,UFC 262: Oliveira vs. Chandler,"Saturday, May 15, 2021",Toyota Center,"Houston, TX"
https://www.tapology.com/fightcenter/events/76941-ufc-fight-night,UFC Fight Night: Rodriguez vs. Waterson,"Saturday, May 08, 2021",UFC APEX,"Las Vegas, NV"
https://www.tapology.com/fightcenter/events/76888-ufc-fight-night,UFC Fight Night: Reyes vs. Procházka,"Saturday, May 01, 2021",UFC APEX,"Las Vegas, NV"
https://www.tapology.com/fightcenter/events/76694-ufc-fight-night,UFC 261: Usman vs. Masvidal 2,"Saturday, April 24, 2021",VyStar Veterans Memorial Arena,"Jacksonville, FL"
https://www.tapology.com/fightcenter/events/76103-ufc-fight-night,UFC Fight Night: Whittaker vs. Gastelum,"Saturday, April 17, 2021",UFC APEX,"Las Vegas, NV"
https://www.tapology.com/fightcenter/events/75229-ufc-fight-night,UFC on ABC 2: Vettori vs. Holland,"Saturday, April 10, 2021",UFC APEX,"Las Vegas, NV"
https://www.tapology.com/fightcenter/events/75458-ufc-fight-night,UFC 260: Miocic vs. N'Gannou 2,"Saturday, March 27, 2021",UFC APEX,"Las Vegas, NV"
https://www.tapology.com/fightcenter/events/74572-ufc-fight-night,UFC Fight Night: Brunson vs. Holland,"Saturday, March 20, 2021",UFC APEX,"Las Vegas, NV"
https://www.tapology.com/fightcenter/events/74857-ufc-fight-night,UFC Fight Night: Edwards vs. Muhammad,"Saturday, March 13, 2021",UFC APEX,"Las Vegas, NV"
https://www.tapology.com/fightcenter/events/74079-ufc-fight-night,UFC 259: Błachowicz vs. Adesanya,"Saturday, March 06, 2021",UFC APEX,"Las Vegas, NV"
https://www.tapology.com/fightcenter/events/73679-ufc-fight-night,UFC Fight Night: Rozenstruik vs. Gane,"Saturday, February 27, 2021",UFC APEX,"Las Vegas, NV"
https://www.tapology.com/fightcenter/events/74141-ufc-fight-night,UFC Fight Night: Blaydes vs. Lewis,"Saturday, February 20, 2021",UFC APEX,"Las Vegas, NV"
https://www.tapology.com/fightcenter/events/73379-ufc-fight-night,UFC 258: Usman vs. Burns,"Saturday, February 13, 2021",UFC APEX,"Las Vegas, NV"
https://www.tapology.com/fightcenter/events/73411-ufc-fight-night,UFC Fight Night: Overeem vs. Volkov,"Saturday, February 06, 2021",UFC APEX,"Las Vegas, NV"
https://www.tapology.com/fightcenter/events/73413-ufc-257,UFC 257: Poirier vs. McGregor 2,"Saturday, January 23, 2021",Etihad Arena,"Dubai, AE"
https://www.tapology.com/fightcenter/events/74598-ufc-fight-night,UFC Fight Night: Chiesa vs. Magny,"Wednesday, January 20, 2021",Etihad Arena,"Dubai, AE"
https://www.tapology.com/fightcenter/events/73220-ufc-fight-night,UFC on ABC 1: Holloway vs. Kattar,"Saturday, January 16, 2021",Etihad Arena,"Dubai, AE"
https://www.tapology.com/fightcenter/events/72974-ufc-fight-night,UFC Fight Night: Thompson vs. Neal,"Saturday, December 19, 2020",UFC APEX,"Las Vegas, NV"
https://www.tapology.com/fightcenter/events/71960-ufc-256,UFC 256: Figueiredo vs. Moreno,"Saturday, December 12, 2020",UFC APEX,"Las Vegas, NV"
https://www.tapology.com/fightcenter/events/71961-ufc-fight-night,UFC Fight Night: Hermansson vs. Vettori,"Saturday, December 05, 2020",UFC APEX,"Las Vegas, NV"
https://www.tapology.com/fightcenter/events/71907-ufc-fight-night-blaydes-vs-lewis,UFC Fight Night: Smith vs. Clark,"Saturday, November 28, 2020",UFC APEX,"Las Vegas, NV"
https://www.tapology.com/fightcenter/events/71715-ufc-255,UFC 255: Figueiredo vs. Perez,"Saturday, November 21, 2020",UFC APEX,"Las Vegas, NV"
https://www.tapology.com/fightcenter/events/71846-ufc-fight-night,UFC Fight Night: Felder vs. Dos Anjos,"Saturday, November 14, 2020",UFC APEX,"Las Vegas, NV"
https://www.tapology.com/fightcenter/events/71816-ufc-fight-night,UFC Fight Night: Santos vs. Teixeira,"Saturday, November 07, 2020",UFC APEX,"Las Vegas, NV"
https://www.tapology.com/fightcenter/events/71817-ufc-fight-night,UFC Fight Night: Hall vs. Silva,"Saturday, October 31, 2020",UFC APEX,"Las Vegas, NV"
https://www.tapology.com/fightcenter/events/70869-ufc-255,UFC 254: Khabib vs. Gaethje,"Saturday, October 24, 2020",UFC Fight Island,"Dubai, AE"
https://www.tapology.com/fightcenter/events/71447-ufc-fight-night,UFC Fight Night: Ortega vs. Korean Zombie,"Saturday, October 17, 2020",UFC Fight Island,"Dubai, AE"
https://www.tapology.com/fightcenter/events/71622-ufc-fight-night,UFC Fight Night: Moraes vs. Sandhagen,"Saturday, October 10, 2020",UFC Fight Island,"Dubai, AE"
https://www.tapology.com/fightcenter/events/71155-ufc-fight-night,UFC Fight Night: Holm vs. Aldana,"Saturday, October 03, 2020",UFC Fight Island,"Dubai, AE"
https://www.tapology.com/fightcenter/events/70105-ufc-253,UFC 253: Adesanya vs. Costa,"Saturday, September 26, 2020",UFC Fight Island,"Dubai, AE"
https://www.tapology.com/fightcenter/events/70810-ufc-fight-night,UFC Fight Night: Covington vs. Woodley,"Saturday, September 19, 2020",UFC APEX,"Las Vegas, NV"
https://www.tapology.com/fightcenter/events/70698-ufc-fight-night,UFC Fight Night: Waterson vs. Hill,"Saturday, September 12, 2020",UFC APEX,"Las Vegas, NV"
https://www.tapology.com/fightcenter/events/70907-ufc-fight-night,UFC Fight Night: Overeem vs. Sakai,"Saturday, September 05, 2020",UFC APEX,"Las Vegas, NV"
https://www.tapology.com/fightcenter/events/70174-ufc-fight-night,UFC Fight Night: Smith vs. Rakic,"Saturday, August 29, 2020",UFC APEX,"Las Vegas, NV"
https://www.tapology.com/fightcenter/events/70108-ufc-fight-night,UFC Fight Night: Munhoz vs. Edgar,"Saturday, August 22, 2020",UFC APEX,"Las Vegas, NV"
https://www.tapology.com/fightcenter/events/67159-ufc-on-espn,UFC 252: Miocic vs. Cormier 3,"Saturday, August 15, 2020",UFC APEX,"Las Vegas, NV"
https://www.tapology.com/fightcenter/events/70216-ufc-fight-night,UFC Fight Night: Lewis vs. Oleinik,"Saturday, August 08, 2020",UFC APEX,"Las Vegas, NV"
https://www.tapology.com/fightcenter/events/69945-ufc-fight-night,UFC Fight Night: Brunson vs. Shahbazyan,"Saturday, August 01, 2020",UFC APEX,"Las Vegas, NV"
https://www.tapology.com/fightcenter/events/69764-ufc-fight-night,UFC Fight Night: Whittaker vs. Till,"Saturday, July 25, 2020",UFC Fight Island,"Abu Dhabi, AE"
https://www.tapology.com/fightcenter/events/69705-ufc-fight-night,UFC Fight Night: Figueiredo vs. Benavidez 2,"Saturday, July 18, 2020",UFC Fight Island,"Abu Dhabi, AE"
https://www.tapology.com/fightcenter/events/70017-ufc-fight-night,UFC Fight Night: Kattar vs. Ige,"Wednesday, July 15, 2020",UFC Fight Island,"Abu Dhabi, AE"
